1 		2 		3 		x		41	76	01	26	91	07
1 		2 		x 		3		42	02	76	27	03	94
1		x		2		3		04	02	05	03	03	03 
x		1		2		3		04	30	53	03	45	72
1		3		2		x		65	88	05	50	79	03
1		3		x		2		66	06	88	51	07	82
1		x		3		2		08	06	01	07	07	07
x		1		3		2		08	54	29	07	69	48
2		1		3		x		29	52	09	38	67	15
2		1		x		3		30	10	52	39	11	70
2		x		1		3		12	10	13	11	11	11
x		2		1		3		12	42	77	11	33	96
2		3		1		x		89	64	13	74	55	11	
2		3		x		1		90	14	64	75	15	58
2		x		3		1		16	14	09	15	15	15
x		2		3		1		16	78	41	15	93	36
3		1		2		x		53	28	17	62	43	23
3		1		x		2		54	18	28	63	19	46
3		x		1		2		20	18	21	19	19	19
x		3		1		2		20	66	89	19	57	84
3		2		1		x		77	40	21	86	31	19
3		2		x		1		78	22	40	87	23	34
3		x		2		1		24	22	17	23	23	23
x		3		2		1		24	90	65	23	81	60
12		3		x		x		88	25	25	97	26	27
12		x		3		x		01	25	26	26	26	26
12		x		x		3		02	27	25	27	27	27
3		12		x		x		98	28	28	85	17	18
x		12		3		x		29	98	29	09	92	08
x		12		x		3		30	30	98	10	04	95
3		x		12		x		32	21	31	31	31	31
x		3		12		x		32	89	32	31	99	33
x		x		12		3		33	12	32	33	33	33
3		x		x		12		35	34	22	34	34	34
x		3		x		12		35	35	90	34	36	100
x		x		3		12		36	35	16	36	36	36
21		3		x		x		64	37	37	105	38	39
21		x		3		x		09	37	38	38	38	38
21		x		x		3		10	39	37	39	39	39
3		21		x		x		106	40	40	61	21	22
x		21		3		x		41	106	41	01	68	16
x		21		x		3		42	42	106	02	12	71
3		x		21		x		44	17	43	43	43	43
x		3		21		x		44	65	44	43	107	45
x		x		21		3		45	04	44	45	45	45
3		x		x		21		47	46	18	46	46	46
x		3		x		21		47	47	66	46	48	108
x		x		3		21		48	47	08	48	48	48
13		2		x		x		76	49	49	101	50	51
13		x		2		x		05	49	50	50	50	50
13		x		x		2		06	51	49	51	51	51
2		13		x		x		102	52	52	73	09	10
x		13		2		x		53	102	53	17	80	04
x		13		x		2		54	54	102	18	08	83
2		x		13		x		56	13	55	55	55	55
x		2		13		x		56	77	56	55	103	57
x		x		13		2		57	20	56	57	57	57
2		x		x		13		59	58	14	58	58	58
x		2		x		13		59	59	78	58	60	104
x		x		2		13		60	59	24	60	60	60
31		2		x		x		40	61	61	113	62	63
31		x		2		x		17	61	62	62	62	62
31		x		x		2		18	63	61	63	63	63
2		31		x		x		114	64	64	37	13	14
x		31		2		x		65	114	65	05	44	24
x		31		x		2		66	66	114	06	20	47
2		x		31		x		68	09	67	67	67	67
x		2		31		x		68	41	68	67	115	69
x		x		31		2		69	08	68	69	69	69
2		x		x		31		71	70	10	70	70	70
x		2		x		31		71	71	42	70	72	116
x		x		2		31		72	71	04	72	72	72
23		1		x		x		52	73	73	109	74	75
23		x		1		x		13	73	74	74	74	74
23		x		x		1		14	75	73	75	75	75
1		23		x		x		110	76	76	49	01	02
x		23		1		x		77	110	77	21	56	12
x		23		x		1		78	78	110	22	16	59
1		x		23		x		80	05	79	79	79	79
x		1		23		x		80	53	80	79	111	81
x		x		23		1		81	24	80	81	81	81
1		x		x		23		83	82	06	82	82	82
x		1		x		23		83	83	54	82	84	112
x		x		1		23		84	83	20	84	84	84
32		1		x		x		28	85	85	117	86	87
32		x		1		x		21	85	86	86	86	86
32		x		x		1		22	87	85	87	87	87
1		32		x		x		118	88	88	25	05	06
x		32		1		x		89	118	89	13	32	20
x		32		x		1		90	90	118	14	24	35
1		x		32		x		92	01	91	91	91	91
x		1		32		x		92	29	92	91	119	93
x		x		32		1		93	16	92	93	93	93
1		x		x		32		95	94	02	94	94	94
x		1		x		32		95	95	30	94	96	120
x		x		1		32		96	95	12	96	96	96
123		x		x		x		25	97	97	97	97	97
x		123		x		x		98	98	98	28	29	30
x		x		123		x		99	32	99	99	99	99
x		x		x		123		100	100	35	100	100	100
132		x		x		x		49	101	101	101	101	101
x		132		x		x		102	102	102	52	53	54
x		x		132		x		103	56	103	103	103	103
x		x		x		132		104	104	59	104	104	104
213		x		x		x		37	105	105	105	105	105
x		213		x		x		106	106	106	40	41	42
x		x		213		x		107	44	107	107	107	107
x		x		x		213		108	108	47	108	108	108
231		x		x		x		73	109	109	109	109	109
x		231		x		x		110	110	110	76	77	78
x		x		231		x		111	80	111	111	111	111
x		x		x		231		112	112	83	112	112	112
312		x		x		x		61	113	113	113	113	113
x		312		x		x		114	114	114	64	65	66
x		x		312		x		115	68	115	115	115	115
x		x		x		312		116	116	71	116	116	116
321		x		x		x		85	117	117	117	117	117
x		321		x		x		118	118	118	88	89	90
x		x		321		x		119	92	119	119	119	119
x		x		x		321		120	120	95	120	120	120
