1 		2 		3 		x
1 		2 		x 		3
1		x		2		3
x		1		2		3
1		3		2		x
1		3		x		2
1		x		3		2
x		1		3		2
2		1		3		x
2		1		x		3
2		x		1		3
x		2		1		3
2		3		1		x
2		3		x		1
2		x		3		1
x		2		3		1
3		1		2		x
3		1		x		2
3		x		1		2
x		3		1		2
3		2		1		x
3		2		x		1
3		x		2		1
x		3		2		1
12		3		x		x
12		x		3		x
12		x		x		3
3		12		x		x
x		12		3		x
x		12		x		3
3		x		12		x
x		3		12		x
x		x		12		3
3		x		x		12
x		3		x		12
x		x		3		12
21		3		x		x
21		x		3		x
21		x		x		3
3		21		x		x
x		21		3		x
x		21		x		3
3		x		21		x
x		3		21		x
x		x		21		3
3		x		x		21
x		3		x		21
x		x		3		21
13		2		x		x
13		x		2		x
13		x		x		2
2		13		x		x
x		13		2		x
x		13		x		2
2		x		13		x
x		2		13		x
x		x		13		2
2		x		x		13
x		2		x		13
x		x		2		13
31		2		x		x
31		x		2		x
31		x		x		2
2		31		x		x
x		31		2		x
x		31		x		2
2		x		31		x
x		2		31		x
x		x		31		2
2		x		x		31
x		2		x		31
x		x		2		31
23		1		x		x
23		x		1		x
23		x		x		1
1		23		x		x
x		23		1		x
x		23		x		1
1		x		23		x
x		1		23		x
x		x		23		1
1		x		x		23
x		1		x		23
x		x		1		23
32		1		x		x
32		x		1		x
32		x		x		1
1		32		x		x
x		32		1		x
x		32		x		1
1		x		32		x
x		1		32		x
x		x		32		1
1		x		x		32
x		1		x		32
x		x		1		32
123		x		x		x
x		123		x		x
x		x		123		x
x		x		x		123
132		x		x		x
x		132		x		x
x		x		132		x
x		x		x		132
213		x		x		x
x		213		x		x
x		x		213		x
x		x		x		213
231		x		x		x
x		231		x		x
x		x		231		x
x		x		x		231
312		x		x		x
x		312		x		x
x		x		312		x
x		x		x		312
321		x		x		x
x		321		x		x
x		x		321		x
x		x		x		321
